 против 	 against 	 preposition 
 движение 	 motion ; movement ; move ; motility 	 physics 
 хруст ; скрип ; треск 	 crush ; crunch ; compaction 	 abstract 
 расширение 	 expansion ; enlargement 	 physics 
 вырезка 	 cut ; cutting 	 abstract 
 деление 	 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 mathematics 
 действие 	 operation 	 abstract 
 веселье ; развлечение ; забава ; увеселение ; отдых 	 entertainment ; amusement 	 art 
 работа 	 work 	 abstract 
 забота ; заботливость 	 care ; attention ; aid ; tending 	 abstract 
 операция 	 operation ; surgery ; surgical operation ; surgical procedure ; surgical process 	 medicine 
 хитрость ; обман 	 trick 	 abstract 
 преступление 	 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 society 
 попытка 	 attempt ; effort ; endeavor ; endeavour ; try 	 abstract 
 пол 	 sexual activity ; sexual practice ; sex ; sex activity 	 relations 
 дрожь ; трепет 	 tremble ; shiver ; shake 	 abstract 
 подведение итога ; суммирование ; сложение 	 summation ; addition ; plus 	 mathematics 
 наблюдение 	 observation ; observance ; watching 	 abstract 
 образование 	 education ; instruction ; teaching ; pedagogy ; didactics ; educational activity 	 education 
 фабрикаты ; изделия 	 industry ; manufacture 	 society 
 конструирование ; проектирование 	 design ; designing 	 abstract 
 использование 	 use ; usage ; utilization ; utilisation ; employment ; exercise 	 linguistics 
 нападение 	 attack ; onslaught ; onset ; onrush 	 abstract 
 измерение 	 measurement ; measuring ; measure ; mensuration 	 art 
 отдых ; передышка 	 rest ; ease ; repose ; relaxation 	 abstract 
 занятие ; торговля 	 trade 	 business 
 рынок ; базар 	 market ; marketplace ; market place 	 business 
 перевозка ; транспорт 	 transportation ; shipping ; transport 	 transport 
 распределение 	 distribution 	 linguistics 
 наказание 	 punishment ; penalty ; penalization ; penalisation 	 society 
 сражение ; бой 	 fight ; fighting ; combat ; scrap 	 abstract 
 удар 	 blow 	 abstract 
 помощь 	 aid ; assist ; assistance ; help 	 communication 
 одобрение 	 blessing ; approval ; approving 	 communication 
 поддержка ; опора 	 support 	 abstract 
 заседание ; митинг ; собрание 	 meeting ; coming together 	 communication 
 яйцо 	 egg 	 food 
 птица 	 bird 	 animal 
 змея ; змей 	 snake ; serpent ; ophidian 	 animal 
 птица 	 domestic fowl ; fowl ; poultry 	 animal 
 султан ; плюмаж ; перо 	 feather ; plume ; plumage 	 object 
 червь ; червяк 	 worm 	 animal 
 пёс ; собака 	 dog ; domestic dog ; Canis familiaris 	 animal 
 кот 	 cat ; true cat 	 animal 
 крыло 	 wing 	 anatomy 
 хвост 	 tail 	 anatomy 
 насекомое 	 insect 	 animal 
 муха 	 fly 	 animal 
 пчела 	 bee 	 animal 
 муравей 	 ant ; emmet ; pismire 	 animal 
 крыса 	 rat 	 animal 
 конь ; лошадь 	 horse ; Equus caballus 	 animal 
 свинья 	 hog ; pig ; grunter ; squealer ; Sus scrofa 	 animal 
 корова 	 cow ; moo-cow 	 animal 
 овца 	 sheep 	 animal 
 козёл ; коза 	 goat ; caprine animal 	 animal 
 смертный ; человек 	 homo ; man ; human being ; human 	 family 
 обезьяна 	 monkey 	 animal 
 рыба 	 fish 	 animal 
 прибавление 	 addition ; add-on ; improver 	 abstract 
 самолёт 	 airplane ; aeroplane ; plane 	 object 
 квартира 	 apartment ; flat 	 society 
 аппарат 	 apparatus ; setup 	 object 
 одежда ; платье 	 apparel ; wearing apparel ; dress ; clothes 	 clothes 
 искусство 	 art ; fine art 	 art 
 большой чан 	 back 	 clothes 
 мешок 	 bag 	 object 
 шар 	 ball 	 object 
 основание ; основа 	 base ; base of operations 	 society 
 корзина ; кольцо 	 basket ; handbasket 	 object 
 постель ; кровать ; ложе 	 bed 	 house 
 колокол 	 bell 	 object 
 выступ 	 bend ; curve 	 transport 
 велосипед 	 bicycle ; bike ; wheel ; cycle 	 object 
 лезвие ; клинок 	 blade 	 object 
 доска 	 board 	 object 
 лодка 	 boat 	 object 
 книга 	 book ; volume 	 object 
 ботинок 	 boot 	 clothes 
 бутыль ; бутылка 	 bottle 	 food 
 коробка 	 box 	 object 
 тормоз 	 brake 	 transport 
 кирпич 	 brick 	 house 
 мост 	 bridge ; span 	 object 
 щётка 	 brush 	 object 
 ведро 	 bucket ; pail 	 house 
 сооружение ; здание 	 building ; edifice 	 city 
 фотоаппарат 	 camera ; photographic camera 	 object 
 сиденье в уборной ; стульчак 	 can ; tin ; tin can 	 object 
 карта 	 card 	 object 
 выезд ; упряжка 	 carriage ; equipage ; rig 	 object 
 цепь 	 chain 	 object 
 мел 	 chalk 	 art 
 ящик 	 chest 	 object 
 церковь 	 church ; church building 	 city 
 часы 	 clock 	 device 
 пиджак 	 coat 	 clothes 
 воротник 	 collar ; neckband 	 clothes 
 гребень 	 comb 	 object 
 соединитель 	 connection ; connexion ; connector ; connecter ; connective 	 abstract 
 копия 	 copy 	 object 
 шнурок 	 cord 	 object 
 пробка 	 cork ; bottle cork 	 object 
 хлопок 	 cotton 	 material 
 чашка 	 cup 	 food 
 кубок 	 cup ; loving cup 	 object 
 драпировка ; портьера ; занавеска 	 curtain ; drape ; drapery ; mantle ; pall 	 house 
 подушка 	 cushion 	 object 
 украшение ; орнамент 	 decoration ; ornament ; ornamentation 	 object 
 дверь ; створка 	 door 	 house 
 дренаж 	 drain ; drainpipe ; waste pipe 	 object 
 ящик 	 drawer 	 house 
 лифт 	 elevator ; lift 	 device 
 двигатель 	 engine 	 device 
 ткань 	 fabric ; cloth ; material ; textile 	 material 
 ферма 	 farm 	 nature 
 флаг 	 flag 	 object 
 настил ; пол 	 floor ; flooring 	 house 
 этаж 	 floor ; level ; storey ; story 	 house 
 вилка 	 fork 	 food 
 рама 	 frame 	 object 
 сад 	 garden 	 house 
 стекло 	 glass ; drinking glass 	 food 
 перчатка 	 glove 	 clothes 
 пушка ; орудие 	 gun 	 object 
 молоток 	 hammer 	 object 
 тележка 	 handcart ; pushcart ; cart ; go-cart 	 object 
 ручка 	 handle ; grip ; handgrip ; hold 	 object 
 шляпа 	 hat ; chapeau ; lid 	 clothes 
 крючок 	 hook ; claw 	 object 
 изолятор 	 hospital ; infirmary 	 city 
 дом 	 house 	 house 
 орудие 	 instrument 	 device 
 интернет 	 internet ; net ; cyberspace 	 mathematics 
 драгоценный камень ; самоцвет ; драгоценность 	 jewel ; gem ; precious stone 	 object 
 литавры 	 kettle ; kettledrum ; tympanum ; tympani ; timpani 	 object 
 ключ 	 key 	 house 
 нож 	 knife 	 food 
 узел 	 knot 	 object 
 библиотека 	 library 	 city 
 лампочка 	 light bulb ; lightbulb ; bulb ; incandescent lamp ; electric light ; electric-light bulb 	 device 
 локон ; замок 	 lock 	 house 
 машина 	 machine 	 device 
 карта 	 map 	 object 
 спичка 	 match ; lucifer ; friction match 	 object 
 шахта 	 mine 	 object 
 ноготь ; гвоздь 	 nail 	 object 
 иголка ; игла 	 needle 	 medicine 
 сети ; западня 	 net ; network ; mesh ; meshing ; meshwork 	 material 
 орех 	 nut 	 object 
 кабинет 	 office ; business office 	 business 
 печь 	 oven 	 device 
 краска 	 paint ; pigment 	 art 
 перо 	 pen 	 object 
 карандаш 	 pencil 	 object 
 икона 	 picture ; image ; icon ; ikon 	 art 
 булавка 	 pin 	 object 
 пение ; коммуникации 	 pipe ; pipage ; piping 	 object 
 стержень 	 pivot ; pin 	 object 
 завод ; фабрика 	 plant ; works ; industrial plant 	 city 
 тарелка 	 plate 	 food 
 плуг 	 plow ; plough 	 object 
 горшок 	 pot 	 object 
 тюрьма 	 prison ; prison house 	 city 
 насос 	 pump 	 device 
 банда ; шайка ; кнопка 	 push button ; push ; button 	 object 
 перекладина 	 railing ; rail 	 object 
 кольцо 	 ring ; band 	 clothes 
 дорога ; маршрут ; курс ; путь 	 road ; route 	 transport 
 прут 	 rod 	 object 
 крыша 	 roof 	 house 
 комната 	 room 	 house 
 сейф 	 safe 	 object 
 парус 	 sail ; canvas ; canvass ; sheet 	 object 
 школа 	 school ; schoolhouse 	 city 
 ножницы 	 scissors ; pair of scissors 	 object 
 заслон ; завеса ; прикрытие 	 screen ; cover ; covert ; concealment 	 object 
 полка 	 shelf 	 house 
 судно ; корабль 	 ship 	 transport 
 рубашка 	 shirt 	 clothes 
 ботинок 	 shoe 	 clothes 
 лавка ; магазин 	 shop ; store 	 business 
 шёлк ; шелк 	 silk 	 material 
 юбка 	 skirt 	 clothes 
 мыло 	 soap 	 material 
 носок 	 sock 	 clothes 
 лопата 	 spade 	 object 
 ложка 	 spoon 	 food 
 пружина 	 spring 	 object 
 помост ; подмости 	 stage 	 object 
 штемпель ; печать ; штамп ; марка 	 stamp 	 object 
 станция 	 station 	 society 
 колесо 	 steering wheel ; wheel 	 device 
 шаг 	 step ; stair 	 house 
 палка 	 stick 	 object 
 точка 	 stitch 	 medicine 
 чулок 	 stocking 	 clothes 
 улица 	 street 	 city 
 строение ; здание 	 structure ; construction 	 house 
 стол 	 table 	 house 
 камера 	 television camera ; tv camera ; camera 	 object 
 предмет ; вещь 	 thing 	 object 
 нить ; пряжа 	 thread ; yarn 	 material 
 рейка ; брусок ; рельс 	 track ; rail ; rails ; runway 	 transport 
 поезд 	 train ; railroad train 	 transport 
 поднос 	 tray 	 object 
 зонт 	 umbrella 	 clothes 
 сосуд 	 vessel ; watercraft 	 transport 
 сосуд 	 vessel 	 object 
 стена 	 wall 	 house 
 таз 	 washbasin ; basin ; washbowl ; washstand ; lavatory 	 house 
 часы 	 watch ; ticker 	 object 
 родник ; колодец 	 well 	 object 
 колесо 	 wheel 	 object 
 хлыст ; кнут 	 whip 	 object 
 свисток 	 whistle 	 device 
 окно 	 window 	 house 
 провод 	 wire 	 object 
 произведение 	 work ; piece of work 	 abstract 
 юмор 	 humor ; humour ; sense of humor ; sense of humour 	 communication 
 образец ; образчик 	 form ; shape ; cast 	 art 
 выражение ; вид 	 expression ; look ; aspect ; facial expression ; face 	 communication 
 тяготение ; притяжение ; привлекательность 	 attraction ; attractiveness 	 abstract 
 качество 	 quality 	 abstract 
 добро 	 good ; goodness 	 abstract 
 поведение 	 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 abstract 
 имущество 	 property 	 abstract 
 структура 	 structure 	 linguistics 
 тон ; оттенок 	 shade ; tint ; tincture ; tone 	 art 
 серый 	 gray ; grayness ; grey ; greyness 	 color 
 запах ; аромат ; вонь 	 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 nature 
 звук 	 sound 	 nature 
 безмолвие ; тишина 	 silence ; quiet 	 abstract 
 холод 	 coldness ; cold ; low temperature ; frigidity ; frigidness 	 nature 
 жара 	 hotness ; heat ; high temperature 	 medicine 
 месса ; обедня 	 mass 	 physics 
 вес 	 weight 	 physics 
 мощность ; энергия 	 might ; mightiness ; power 	 abstract 
 сила 	 force ; forcefulness ; strength 	 abstract 
 уклон 	 gradient ; slope 	 mathematics 
 искривление ; кривизна ; изгиб 	 curvature ; curve 	 mathematics 
 расстояние 	 distance 	 mathematics 
 уровень 	 degree ; grade ; level 	 linguistics 
 величина ; размер 	 size 	 physics 
 масса ; объём 	 bulk ; mass ; volume 	 physics 
 количество 	 amount 	 abstract 
 возрастание ; увеличение 	 increase ; increment 	 abstract 
 граница 	 limit ; bound ; boundary 	 mathematics 
 диапазон 	 scope ; range ; reach ; orbit ; compass ; ambit 	 abstract 
 ценность 	 value 	 art 
 назначение ; намерение ; цель 	 function ; purpose ; role ; use 	 linguistics 
 стоимость 	 price ; cost ; toll 	 business 
 сила 	 power ; powerfulness 	 abstract 
 контроль 	 control 	 abstract 
 авторитет 	 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 society 
 покров ; оболочка 	 skin ; tegument ; cutis 	 anatomy 
 волосы 	 hair ; pilus 	 anatomy 
 волосы 	 hair 	 anatomy 
 кость 	 bone ; os 	 anatomy 
 зуб 	 tooth 	 anatomy 
 мышца ; мускул 	 muscle ; musculus 	 anatomy 
 язык 	 tongue ; lingua ; glossa ; clapper 	 anatomy 
 уста ; рот 	 mouth ; oral cavity ; oral fissure ; rima oris 	 anatomy 
 губа 	 lip 	 anatomy 
 глаз 	 eye ; oculus ; optic 	 anatomy 
 ухо 	 ear 	 anatomy 
 сердце 	 heart ; pump ; ticker 	 anatomy 
 живот(ик) 	 stomach ; tummy ; tum ; breadbasket 	 anatomy 
 кровь 	 blood 	 anatomy 
 нерв 	 nerve ; nervus 	 anatomy 
 мозг 	 brain ; encephalon 	 anatomy 
 голова 	 head ; caput 	 anatomy 
 шея 	 neck ; cervix 	 anatomy 
 глотка ; зев 	 throat ; pharynx 	 anatomy 
 туловище 	 torso ; trunk ; body 	 anatomy 
 грудная клетка 	 thorax ; chest ; pectus 	 anatomy 
 большой чан ; спина 	 back ; dorsum 	 anatomy 
 нога 	 leg 	 anatomy 
 нога 	 foot ; human foot ; pes 	 anatomy 
 рука 	 arm 	 anatomy 
 рука 	 hand ; manus ; mitt ; paw 	 anatomy 
 палец 	 finger 	 anatomy 
 большой палец 	 thumb ; pollex 	 anatomy 
 колено 	 knee ; knee joint ; human knee ; articulatio genus ; genu 	 anatomy 
 палец на ноге 	 toe 	 anatomy 
 ноготь 	 nail 	 anatomy 
 нос 	 nose ; olfactory organ 	 anatomy 
 подбородок 	 chin ; mentum 	 anatomy 
 лицо 	 face ; human face 	 anatomy 
 ум ; душа 	 mind ; head ; brain ; psyche ; nous 	 mathematics 
 измышление ; вымысел 	 invention ; innovation ; excogitation ; conception ; design 	 art 
 способность запоминания ; память 	 memory ; retention ; retentiveness ; retentivity 	 communication 
 воля 	 volition ; will 	 abstract 
 выслушивание ; слушание ; слух 	 hearing ; audition ; auditory sense ; sense of hearing ; auditory modality 	 nature 
 проба на вкус 	 taste ; gustation ; sense of taste ; gustatory modality 	 nature 
 запутанность 	 interest ; involvement 	 communication 
 задача 	 trouble ; problem 	 abstract 
 колебание ; сомнение ; неуверенность 	 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 communication 
 внимание 	 attention ; attending 	 communication 
 леденец ; сладость 	 sweet ; sweetness ; sugariness 	 food 
 шум ; гам 	 noise ; dissonance ; racket 	 society 
 устройство 	 arrangement ; organization ; organisation ; system 	 society 
 оценка ; отметка 	 mark ; grade ; score 	 education 
 учёность ; эрудиция ; изучение 	 learning ; acquisition 	 education 
 опыт 	 experience 	 society 
 чтение 	 reading 	 travelling 
 обстоятельство 	 fact 	 abstract 
 пример ; пояснение 	 example ; illustration ; instance ; representative 	 communication 
 мысль 	 idea ; thought 	 communication 
 решение 	 decision ; determination ; conclusion 	 communication 
 разряд ; сорт ; род ; вид 	 kind ; sort ; form ; variety 	 abstract 
 фасон ; форма ; марка ; вид 	 brand ; make 	 abstract 
 правило ; предписание 	 rule ; regulation 	 linguistics 
 секция 	 part ; section ; division 	 mathematics 
 растение семейства сложноцветных 	 complex ; composite 	 abstract 
 сущность 	 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 abstract 
 память 	 memory 	 communication 
 суждение 	 opinion ; sentiment ; persuasion ; view ; thought 	 communication 
 святыня ; культ ; вера 	 religion ; faith ; religious belief 	 society 
 обещание 	 promise ; hope 	 relations 
 воля 	 will 	 society 
 образование 	 education 	 education 
 теория 	 theory 	 education 
 дисциплина 	 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 linguistics 
 наука 	 science ; scientific discipline 	 society 
 страница 	 page 	 object 
 газета 	 newspaper ; paper 	 object 
 язык 	 language ; linguistic communication 	 communication 
 слово 	 word 	 linguistics 
 имя 	 name 	 linguistics 
 письмо 	 writing 	 linguistics 
 выдумка ; вымысел ; фикция ; проза 	 fiction 	 abstract 
 проза 	 prose 	 abstract 
 поэзия ; стих 	 verse ; rhyme 	 linguistics 
 отрывок 	 excerpt ; excerption ; extract ; selection 	 linguistics 
 проводник ; гид ; путеводитель 	 guidebook ; guide 	 object 
 форма 	 form 	 society 
 список ; реестр ; перечень 	 list ; listing 	 abstract 
 фактура ; счёт 	 bill ; account ; invoice 	 business 
 билет 	 ticket 	 object 
 расписка в получении 	 receipt 	 object 
 закон 	 law 	 society 
 завещание 	 will ; testament 	 society 
 значение 	 sense ; signified 	 communication 
 письмо 	 letter ; missive 	 object 
 новости ; новость ; известие 	 news ; intelligence ; tidings ; word 	 society 
 независимая переменная ; аргумент 	 argument ; statement 	 communication 
 тайна ; секрет 	 secret 	 communication 
 утверждение ; заявление 	 statement 	 communication 
 рассудок ; разум 	 reason 	 communication 
 ответ 	 answer ; reply ; response 	 communication 
 примечание 	 note ; annotation ; notation 	 communication 
 соглашение ; урегулирование 	 agreement ; understanding 	 business 
 почтовые расходы ; почтовая оплата 	 postage ; postage stamp ; stamp 	 object 
 черта ; линия ; покрой 	 line 	 mathematics 
 знак 	 sign 	 linguistics 
 буква 	 letter ; letter of the alphabet ; alphabetic character 	 linguistics 
 звукоряд 	 scale ; musical scale 	 mathematics 
 тон ; оттенок 	 note ; musical note ; tone 	 art 
 усмешка 	 smile ; smiling ; grin ; grinning 	 abstract 
 музыка 	 music 	 art 
 пение ; песня 	 song ; vocal 	 art 
 ритм ; размер 	 rhythm ; beat ; musical rhythm 	 art 
 голос 	 voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 communication 
 крик ; возглас 	 cry ; outcry ; call ; yell ; shout ; vociferation 	 communication 
 колкостями и т.п. ; обмен мнениями ; любезностями 	 discussion ; give-and-take ; word 	 communication 
 предложение 	 suggestion ; proposition ; proffer 	 abstract 
 порядок 	 order 	 society 
 спор 	 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 mathematics 
 предложение 	 offer ; offering 	 abstract 
 просьба 	 request ; asking 	 communication 
 вопрос 	 question ; inquiry ; enquiry ; query ; interrogation 	 linguistics 
 экзамен 	 examination ; exam ; test 	 communication 
 утверждение ; да 	 yes 	 abstract 
 отрицание 	 no 	 abstract 
 протест 	 protest ; protestation 	 communication 
 объявление 	 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 business 
 разметка ; отметка 	 marker ; marking ; mark 	 abstract 
 опыт 	 experience 	 communication 
 выплата 	 wages ; reward ; payoff 	 society 
 огонь ; пламя 	 fire 	 nature 
 жест ; телодвижение 	 movement ; motion 	 physics 
 рождение ; возникновение 	 birth ; nativity ; nascency ; nascence 	 nature 
 причина 	 cause 	 abstract 
 удар 	 jolt ; jar ; jounce ; shock 	 transport 
 волна ; вал 	 wave ; moving ridge 	 nature 
 скачок ; прыжок 	 leap ; jump ; saltation 	 abstract 
 остановка 	 stop ; halt 	 abstract 
 сборка ; установка ; монтаж 	 adjustment ; accommodation ; fitting 	 abstract 
 гром 	 thunder 	 nature 
 течение ; поток 	 current ; stream 	 nature 
 прикосновение 	 touch ; touching 	 abstract 
 повреждение ; вред 	 damage ; harm ; impairment 	 transport 
 взрыв ; вспышка 	 outburst ; burst ; flare-up 	 abstract 
 встреча ; соревнование ; состязание 	 contest ; competition 	 society 
 матч 	 match 	 sports 
 желание ; похоть 	 desire 	 abstract 
 наслаждение ; удовольствие 	 pleasure ; pleasance 	 abstract 
 отвращение ; омерзение 	 disgust 	 abstract 
 удивление 	 surprise 	 abstract 
 шок 	 daze ; shock ; stupor 	 abstract 
 пугало ; страшилище 	 fear ; fearfulness ; fright 	 relations 
 сожаление ; горе 	 sorrow ; regret ; rue ; ruefulness 	 abstract 
 привязанность ; любовь 	 love 	 relations 
 ненависть 	 hate ; hatred 	 relations 
 еда 	 meal ; repast 	 food 
 суп 	 soup 	 food 
 лепёшка ; пирожное ; торт ; кекс 	 cake 	 food 
 желе ; студень 	 gelatin ; jelly 	 food 
 мясо 	 meat 	 food 
 хлеб 	 bread ; breadstuff ; staff of life 	 food 
 картофелина 	 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 food 
 яблоко 	 apple 	 food 
 ягода 	 berry 	 food 
 апельсин 	 orange 	 food 
 рис 	 rice 	 food 
 поваренная соль ; соль 	 salt ; table salt ; common salt 	 food 
 молоко 	 milk 	 food 
 масло 	 butter 	 food 
 сыр 	 cheese 	 food 
 напиток 	 beverage ; drink ; drinkable ; potable 	 food 
 дешёвое вино 	 wine ; vino 	 food 
 встряска 	 milkshake ; milk shake ; shake 	 food 
 покойники ; умершие 	 dead 	 society 
 общество 	 society 	 society 
 семейство ; семья 	 family ; family unit 	 family 
 пол 	 sex 	 nature 
 свёрток ; пакет ; пачка ; упаковка 	 package ; bundle ; packet ; parcel 	 object 
 организация 	 organization ; organisation 	 society 
 строй 	 government ; authorities ; regime 	 society 
 общество 	 company 	 business 
 дело ; касательство ; отношение 	 business ; concern ; business concern ; business organization ; business organisation 	 business 
 святыня ; культ 	 religion ; faith ; organized religion 	 society 
 семейство ; семья 	 family 	 family 
 орден 	 order ; monastic order 	 society 
 нация 	 nation ; land ; country 	 society 
 население 	 populace ; public ; world 	 society 
 армия 	 army ; regular army ; ground forces 	 society 
 военная сила ; войска 	 military ; armed forces ; armed services ; military machine ; war machine 	 society 
 лента ; тесьма 	 dance band ; band ; dance orchestra 	 art 
 стол 	 table ; tabular array 	 object 
 комитет 	 committee ; commission 	 society 
 система 	 system ; scheme 	 linguistics 
 поток 	 stream ; flow ; current 	 nature 
 середина 	 center ; centre ; middle ; heart ; eye 	 mathematics 
 страна 	 country ; state ; land 	 society 
 кайма ; бордюр ; край 	 edge ; border 	 mathematics 
 окончание 	 end ; terminal 	 abstract 
 поле 	 field 	 nature 
 передняя часть 	 front ; front end ; forepart 	 abstract 
 расположение 	 position ; place 	 linguistics 
 прибежище ; убежище ; приют ; порт 	 seaport ; haven ; harbor ; harbour 	 city 
 пост ; должность ; место 	 seat ; place 	 abstract 
 сторона 	 side 	 mathematics 
 место 	 topographic point ; place ; spot 	 abstract 
 город 	 town 	 society 
 тенденция 	 tendency ; trend 	 abstract 
 толчок ; побуждение 	 urge ; impulse 	 abstract 
 частица 	 bit ; chip ; flake ; fleck ; scrap 	 object 
 облако 	 cloud 	 nature 
 длинный разрез ; трещина ; расселина 	 crack ; cleft ; crevice ; fissure ; scissure 	 abstract 
 небесное тело 	 Earth ; earth ; world ; globe 	 nature 
 зерно 	 grain 	 material 
 дыра 	 hole 	 abstract 
 остров 	 island 	 nature 
 земля ; почва 	 land ; dry land ; earth ; ground ; solid ground ; terra firma 	 nature 
 луна 	 Moon ; moon 	 nature 
 гора 	 mountain ; mount 	 nature 
 равнина ; открытое поле 	 plain ; field ; champaign 	 nature 
 река 	 river 	 nature 
 скала 	 rock ; stone 	 nature 
 чешуйка 	 scale ; scurf ; exfoliation 	 anatomy 
 море 	 sea 	 nature 
 небеса ; небо 	 sky 	 nature 
 источник ; ключ 	 spring ; fountain ; outflow ; outpouring ; natural spring 	 nature 
 звезда 	 star 	 nature 
 растягивание ; удлинение ; вытягивание 	 stretch 	 art 
 солнце 	 sun ; Sun 	 nature 
 специалист 	 expert 	 profession 
 женщина 	 female ; female person 	 society 
 мужчина 	 male ; male person 	 society 
 младенец ; ребёнок 	 baby ; babe ; infant 	 family 
 дорогая 	 beloved ; dear ; dearest ; honey ; love 	 relations 
 брат 	 brother ; blood brother 	 family 
 повар ; кухарка 	 cook 	 profession 
 родственный ; дочь 	 daughter ; girl 	 family 
 директор 	 director ; manager ; managing director 	 profession 
 швейцар ; привратник 	 doorkeeper ; doorman ; door guard ; hall porter ; porter ; gatekeeper ; ostiary 	 profession 
 вдохновитель ; отец 	 father ; male parent ; begetter 	 family 
 приятель ; друг 	 friend 	 family 
 генерал 	 general ; full general 	 profession 
 девушка ; девочка 	 girl ; miss ; missy ; young lady ; young woman ; fille 	 family 
 руководитель ; глава 	 head ; chief ; top dog 	 society 
 судья 	 judge ; justice ; jurist 	 profession 
 страж 	 lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 profession 
 мальчик 	 male child ; boy 	 family 
 человек 	 man ; adult male 	 family 
 мать 	 mother ; female parent 	 family 
 владелец ; обладатель 	 owner ; possessor 	 business 
 представитель 	 representative 	 profession 
 секретарь 	 secretary ; secretarial assistant 	 profession 
 прислуга 	 servant ; retainer 	 profession 
 сестра 	 sister ; sis 	 family 
 сын ; наследник 	 son ; boy 	 family 
 пристав 	 usher ; guide 	 profession 
 женщина 	 woman ; adult female 	 family 
 последствие 	 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 medicine 
 реакция 	 reaction 	 abstract 
 луч 	 beam ; beam of light ; light beam ; ray ; ray of light ; shaft ; shaft of light ; irradiation 	 mathematics 
 струя 	 current ; electric current 	 nature 
 смерть 	 death 	 nature 
 свет 	 light ; visible light ; visible radiation 	 nature 
 туман 	 mist 	 nature 
