 tai 	 against 	 preposition 
 hiko_ki 	 airplane ; aeroplane ; plane 	 object 
 so_chi 	 apparatus ; setup 	 object 
 irui 	 apparel ; wearing apparel ; dress ; clothes 	 clothes 
 jutsu 	 art ; fine art 	 art 
 fukuro 	 bag 	 object 
 konpon 	 base ; base of operations 	 society 
 kago 	 basket ; handbasket 	 object 
 fushido 	 bed 	 house 
 kane 	 bell 	 object 
 ginrin 	 bicycle ; bike ; wheel ; cycle 	 object 
 shu_tei 	 boat 	 object 
 maki 	 book ; volume 	 object 
 bin 	 bottle 	 food 
 hako 	 box 	 object 
 hadome 	 brake 	 transport 
 renga 	 brick 	 house 
 teoke 	 bucket ; pail 	 house 
 kenzo_ 	 building ; edifice 	 city 
 shashinki 	 camera ; photographic camera 	 object 
 kusari 	 chain 	 object 
 hakuboku 	 chalk 	 art 
 ? 	 church ; church building 	 city 
 tokei 	 clock 	 device 
 eri 	 collar ; neckband 	 clothes 
 kushi 	 comb 	 object 
 o 	 cord 	 object 
 sen 	 cork ; bottle cork 	 object 
 tenmaku 	 curtain ; drape ; drapery ; mantle ; pall 	 house 
 shikimono 	 cushion 	 object 
 shu_shoku 	 decoration ; ornament ; ornamentation 	 object 
 hikidashi 	 drawer 	 house 
 hatsudo_ki 	 engine 	 device 
 orimono 	 fabric ; cloth ; material ; textile 	 material 
 kishi 	 flag 	 object 
 wakugumi 	 frame 	 object 
 teien 	 garden 	 house 
 tebukuro 	 glove 	 clothes 
 tsutsu 	 gun 	 object 
 tsuchi 	 hammer 	 object 
 niguruma 	 handcart ; pushcart ; cart ; go-cart 	 object 
 nigiri 	 handle ; grip ; handgrip ; hold 	 object 
 bo_shi 	 hat ; chapeau ; lid 	 clothes 
 kagibari 	 hook ; claw 	 object 
 byo_sha 	 hospital ; infirmary 	 city 
 kaoku 	 house 	 house 
 yo_ki 	 instrument 	 device 
 ho_gyoku 	 jewel ; gem ; precious stone 	 object 
 nawame 	 knot 	 object 
 jo_mae 	 lock 	 house 
 kikai 	 machine 	 device 
 chizu 	 map 	 object 
 hari 	 needle 	 medicine 
 ami 	 net ; network ; mesh ; meshing ; meshwork 	 material 
 tenpi 	 oven 	 device 
 enpitsu 	 pencil 	 object 
 gazo_ 	 picture ; image ; icon ; ikon 	 art 
 tomebari 	 pin 	 object 
 seisakujo 	 plant ; works ; industrial plant 	 city 
 sara 	 plate 	 food 
 suki 	 plow ; plough 	 object 
 nabe 	 pot 	 object 
 tsumami 	 push button ; push ; button 	 object 
 michi 	 road ; route 	 transport 
 sao 	 rod 	 object 
 yane 	 roof 	 house 
 ma 	 room 	 house 
 ho 	 sail ; canvas ; canvass ; sheet 	 object 
 mure 	 school ; schoolhouse 	 city 
 futa 	 screen ; cover ; covert ; concealment 	 object 
 tana 	 shelf 	 house 
 senpaku 	 ship 	 transport 
 kenpu 	 silk 	 material 
 sekken 	 soap 	 material 
 insho_ 	 stamp 	 object 
 eki 	 station 	 society 
 dan 	 step ; stair 	 house 
 bo_kire 	 stick 	 object 
 ko_zo_ 	 structure ; construction 	 house 
 takushi 	 table 	 house 
 bukken 	 thing 	 object 
 ito 	 thread ; yarn 	 material 
 senro 	 track ; rail ; rails ; runway 	 transport 
 zen 	 tray 	 object 
 kasa 	 umbrella 	 clothes 
 fune 	 vessel ; watercraft 	 transport 
 kabe 	 wall 	 house 
 tokei 	 watch ; ticker 	 object 
 i 	 well 	 object 
 kuruma 	 wheel 	 object 
 muchi 	 whip 	 object 
 mado 	 window 	 house 
 harigane 	 wire 	 object 
 shisen 	 expression ; look ; aspect ; facial expression ; face 	 communication 
 miwaku 	 attraction ; attractiveness 	 abstract 
 yo_gi 	 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 abstract 
 iroai 	 shade ; tint ; tincture ; tone 	 art 
 nioi 	 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 nature 
 nari 	 sound 	 nature 
 kansan 	 silence ; quiet 	 abstract 
 atsusa 	 hotness ; heat ; high temperature 	 medicine 
 ryo_me 	 weight 	 physics 
 isei 	 might ; mightiness ; power 	 abstract 
 chikara 	 force ; forcefulness ; strength 	 abstract 
 saka 	 gradient ; slope 	 mathematics 
 hedatari 	 distance 	 mathematics 
 suijun 	 degree ; grade ; level 	 linguistics 
 taka 	 amount 	 abstract 
 bo_cho_ 	 increase ; increment 	 abstract 
 genkai 	 limit ; bound ; boundary 	 mathematics 
 han'i 	 scope ; range ; reach ; orbit ; compass ; ambit 	 abstract 
 arigatami 	 value 	 art 
 mokuteki 	 function ; purpose ; role ; use 	 linguistics 
 ikioi 	 power ; powerfulness 	 abstract 
 to_gyo 	 control 	 abstract 
 kenno_ 	 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 society 
 kami 	 hair ; pilus 	 anatomy 
 ke 	 hair 	 anatomy 
 hone 	 bone ; os 	 anatomy 
 ha 	 tooth 	 anatomy 
 kinniku 	 muscle ; musculus 	 anatomy 
 shita 	 tongue ; lingua ; glossa ; clapper 	 anatomy 
 kuchi 	 mouth ; oral cavity ; oral fissure ; rima oris 	 anatomy 
 manako 	 eye ; oculus ; optic 	 anatomy 
 mimi 	 ear 	 anatomy 
 kyo_kai 	 heart ; pump ; ticker 	 anatomy 
 hara 	 stomach ; tummy ; tum ; breadbasket 	 anatomy 
 chishio 	 blood 	 anatomy 
 shinkei 	 nerve ; nervus 	 anatomy 
 no_zui 	 brain ; encephalon 	 anatomy 
 kubi 	 neck ; cervix 	 anatomy 
 nodomoto 	 throat ; pharynx 	 anatomy 
 do_tai 	 torso ; trunk ; body 	 anatomy 
 kyo_bu 	 thorax ; chest ; pectus 	 anatomy 
 ashi 	 leg 	 anatomy 
 ude 	 arm 	 anatomy 
 te 	 hand ; manus ; mitt ; paw 	 anatomy 
 yubi 	 finger 	 anatomy 
 oyayubi 	 thumb ; pollex 	 anatomy 
 hiza 	 knee ; knee joint ; human knee ; articulatio genus ; genu 	 anatomy 
 ashinoyubi 	 toe 	 anatomy 
 hana 	 nose ; olfactory organ 	 anatomy 
 ago 	 chin ; mentum 	 anatomy 
 kaotsuki 	 face ; human face 	 anatomy 
 seishin 	 mind ; head ; brain ; psyche ; nous 	 mathematics 
 ishi 	 volition ; will 	 abstract 
 fu_ryu_ 	 taste ; gustation ; sense of taste ; gustatory modality 	 nature 
 kanshin 	 interest ; involvement 	 communication 
 zo_sa 	 trouble ; problem 	 abstract 
 futei 	 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 communication 
 shicho_ 	 attention ; attending 	 communication 
 shikumi 	 arrangement ; organization ; organisation ; system 	 society 
 mikiki 	 experience 	 society 
 etsuran 	 reading 	 travelling 
 arinomama 	 fact 	 abstract 
 rei 	 example ; illustration ; instance ; representative 	 communication 
 chakuso_ 	 idea ; thought 	 communication 
 ketsui 	 decision ; determination ; conclusion 	 communication 
 shurui 	 kind ; sort ; form ; variety 	 abstract 
 kukaku 	 part ; section ; division 	 mathematics 
 jittai 	 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 abstract 
 kinen 	 memory 	 communication 
 kangae 	 opinion ; sentiment ; persuasion ; view ; thought 	 communication 
 shinnen 	 religion ; faith ; religious belief 	 society 
 kunto_ 	 education 	 education 
 setsu 	 theory 	 education 
 kun'iku 	 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 linguistics 
 kagaku 	 science ; scientific discipline 	 society 
 men 	 page 	 object 
 shinbunshi 	 newspaper ; paper 	 object 
 go 	 word 	 linguistics 
 meigi 	 name 	 linguistics 
 kaku_ 	 fiction 	 abstract 
 shiku 	 verse ; rhyme 	 linguistics 
 sho_hon 	 excerpt ; excerption ; extract ; selection 	 linguistics 
 tebikisho 	 guidebook ; guide 	 object 
 hyo_ 	 list ; listing 	 abstract 
 kaikei 	 bill ; account ; invoice 	 business 
 kippu 	 ticket 	 object 
 ryo_shu_sho_ 	 receipt 	 object 
 riho_ 	 law 	 society 
 yuigonjo_ 	 will ; testament 	 society 
 kankaku 	 sense ; signified 	 communication 
 otosata 	 letter ; missive 	 object 
 ronjin 	 argument ; statement 	 communication 
 gensetsu 	 statement 	 communication 
 do_ri 	 reason 	 communication 
 henji 	 answer ; reply ; response 	 communication 
 oboegaki 	 note ; annotation ; notation 	 communication 
 kiyaku 	 agreement ; understanding 	 business 
 yu_zei 	 postage ; postage stamp ; stamp 	 object 
 senro 	 line 	 mathematics 
 narimono 	 music 	 art 
 hyo_shi 	 rhythm ; beat ; musical rhythm 	 art 
 onsei 	 voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 communication 
 hitokoe 	 cry ; outcry ; call ; yell ; shout ; vociferation 	 communication 
 giron 	 discussion ; give-and-take ; word 	 communication 
 mo_shiire 	 suggestion ; proposition ; proffer 	 abstract 
 iiwatashi 	 order 	 society 
 so_ron 	 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 mathematics 
 mo_shikomi 	 offer ; offering 	 abstract 
 yo_kyu_ 	 request ; asking 	 communication 
 toi 	 question ; inquiry ; enquiry ; query ; interrogation 	 linguistics 
 shiken 	 examination ; exam ; test 	 communication 
 igi 	 protest ; protestation 	 communication 
 ko_koku 	 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 business 
 fucho_ 	 marker ; marking ; mark 	 abstract 
 dachin 	 wages ; reward ; payoff 	 society 
 kasai 	 fire 	 nature 
 ko_tan 	 birth ; nativity ; nascency ; nascence 	 nature 
 tane 	 cause 	 abstract 
 nami 	 wave ; moving ridge 	 nature 
 cho_yaku 	 leap ; jump ; saltation 	 abstract 
 tomari 	 stop ; halt 	 abstract 
 tekio_ 	 adjustment ; accommodation ; fitting 	 abstract 
 raimei 	 thunder 	 nature 
 higai 	 damage ; harm ; impairment 	 transport 
 gekihatsu 	 outburst ; burst ; flare-up 	 abstract 
 to_gi 	 contest ; competition 	 society 
 yokkyu_ 	 desire 	 abstract 
 ken'o 	 disgust 	 abstract 
 kyo_gaku 	 daze ; shock ; stupor 	 abstract 
 ifu 	 fear ; fearfulness ; fright 	 relations 
 zannen 	 sorrow ; regret ; rue ; ruefulness 	 abstract 
 itsukushimi 	 love 	 relations 
 ken'o 	 hate ; hatred 	 relations 
 shokuji 	 meal ; repast 	 food 
 shiru 	 soup 	 food 
 niku 	 meat 	 food 
 imo 	 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 food 
 ringo 	 apple 	 food 
 sho_ka 	 berry 	 food 
 beikoku 	 rice 	 food 
 shio 	 salt ; table salt ; common salt 	 food 
 nyu_ju_ 	 milk 	 food 
 gyu_raku 	 butter 	 food 
 ippai 	 beverage ; drink ; drinkable ; potable 	 food 
 tsutsumi 	 package ; bundle ; packet ; parcel 	 object 
 chisei 	 government ; authorities ; regime 	 society 
 ko_shi 	 company 	 business 
 minzoku 	 nation ; land ; country 	 society 
 minshu_ 	 populace ; public ; world 	 society 
 rikugun 	 army ; regular army ; ground forces 	 society 
 gakutai 	 dance band ; band ; dance orchestra 	 art 
 iinkai 	 committee ; commission 	 society 
 soshiki 	 system ; scheme 	 linguistics 
 nagare 	 stream ; flow ; current 	 nature 
 enso_ 	 center ; centre ; middle ; heart ; eye 	 mathematics 
 ho_do 	 country ; state ; land 	 society 
 kiwa 	 edge ; border 	 mathematics 
 shimekiri 	 end ; terminal 	 abstract 
 ryo_iki 	 field 	 nature 
 zenbu 	 front ; front end ; forepart 	 abstract 
 ichi 	 position ; place 	 linguistics 
 funatsukiba 	 seaport ; haven ; harbor ; harbour 	 city 
 zaseki 	 seat ; place 	 abstract 
 kiwa 	 side 	 mathematics 
 toshi 	 town 	 society 
 su_ko_ 	 tendency ; trend 	 abstract 
 kumo 	 cloud 	 nature 
 kiretsu 	 crack ; cleft ; crevice ; fissure ; scissure 	 abstract 
 yochi 	 Earth ; earth ; world ; globe 	 nature 
 ryu_shi 	 grain 	 material 
 shima 	 island 	 nature 
 daichi 	 land ; dry land ; earth ; ground ; solid ground ; terra firma 	 nature 
 yama 	 mountain ; mount 	 nature 
 heiya 	 plain ; field ; champaign 	 nature 
 kawa 	 river 	 nature 
 ganseki 	 rock ; stone 	 nature 
 umi 	 sea 	 nature 
 ku_chu_ 	 sky 	 nature 
 izumi 	 spring ; fountain ; outflow ; outpouring ; natural spring 	 nature 
 hi 	 sun ; Sun 	 nature 
 tatsujin 	 expert 	 profession 
 akachan 	 baby ; babe ; infant 	 family 
 meshitaki 	 cook 	 profession 
 goreijo_ 	 daughter ; girl 	 family 
 shacho_ 	 director ; manager ; managing director 	 profession 
 genkanban 	 doorkeeper ; doorman ; door guard ; hall porter ; porter ; gatekeeper ; ostiary 	 profession 
 otokooya 	 father ; male parent ; begetter 	 family 
 chijin 	 friend 	 family 
 rikusho_ 	 general ; full general 	 profession 
 shuryo_ 	 head ; chief ; top dog 	 society 
 hangan 	 judge ; justice ; jurist 	 profession 
 bansotsu 	 lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 profession 
 danji 	 male child ; boy 	 family 
 dansei 	 man ; adult male 	 family 
 hahaoya 	 mother ; female parent 	 family 
 shojisha 	 owner ; possessor 	 business 
 myo_dai 	 representative 	 profession 
 kerai 	 servant ; retainer 	 profession 
 michiannai 	 usher ; guide 	 profession 
 fujoshi 	 woman ; adult female 	 family 
 ko_ka 	 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 medicine 
 hankyo_ 	 reaction 	 abstract 
 sen 	 beam ; beam of light ; light beam ; ray ; ray of light ; shaft ; shaft of light ; irradiation 	 mathematics 
 tomoshibi 	 light ; visible light ; visible radiation 	 nature 
 kiri 	 mist 	 nature 
 ko_u 	 rain ; rainfall 	 nature 
 yuki 	 snow ; snowfall 	 nature 
 yo_ki 	 weather ; weather condition ; conditions ; atmospheric condition 	 nature 
 kaze 	 wind ; air current ; current of air 	 nature 
 kusa 	 grass 	 nature 
 mokuhon 	 tree 	 house 
 kongen 	 root 	 nature 
 mizugashi 	 fruit 	 food 
 konoha 	 leaf ; leafage ; foliage 	 nature 
 eda 	 branch 	 nature 
 shindai 	 property ; belongings ; holding 	 society 
 shu_eki 	 net income ; net ; net profit ; lucre ; profit ; profits ; earnings 	 business 
 cho_daimono 	 present 	 object 
 no_nyu_ 	 payment 	 business 
 zeikin 	 tax ; taxation ; revenue enhancement 	 business 
 ri 	 interest 	 business 
 ritsu 	 rate ; charge per unit 	 business 
 kenri 	 right 	 society 
 hoken 	 insurance 	 business 
 kake 	 credit 	 business 
 zenikane 	 money 	 business 
 osatsu 	 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 business 
 saimu 	 debt 	 business 
 futto_ 	 boiling 	 nature 
 shinka 	 development ; evolution 	 nature 
 sho_ka 	 digestion 	 medicine 
 kasai 	 fire ; flame ; flaming 	 nature 
 hanshoku 	 increase ; increment ; growth 	 abstract 
 unten 	 operation ; functioning ; performance 	 mathematics 
 bango_ 	 number 	 linguistics 
 butai 	 unit of measurement ; unit 	 mathematics 
 hakobi 	 footstep ; pace ; step ; stride 	 mathematics 
 bun 	 part ; portion ; component part ; component ; constituent 	 abstract 
 sashihiki 	 remainder ; balance ; residual ; residue ; residuum ; rest 	 business 
 kento_ 	 direction 	 mathematics 
 hokubu 	 north ; due north ; northward ; N 	 logistics 
 higashi 	 east ; due east ; eastward ; E 	 logistics 
 nishi 	 west ; due west ; westward ; W 	 logistics 
 urahara 	 reverse ; contrary ; opposite 	 abstract 
 wa 	 circle 	 mathematics 
 serimochi 	 arch 	 house 
 kakudo 	 angle 	 mathematics 
 magari 	 fold ; crease ; plication ; flexure ; crimp ; bend 	 object 
 ten 	 point ; dot 	 linguistics 
 kaku 	 condition ; status 	 abstract 
 do_zei 	 company ; companionship ; fellowship ; society 	 society 
 kotchixyou 	 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 abstract 
 seizon 	 being ; beingness ; existence 	 society 
 wago_ 	 harmony ; concord ; concordance 	 art 
 ko_wa 	 peace 	 abstract 
 nemuri 	 sleep ; slumber 	 nature 
 hatsujo_ 	 estrus ; oestrus ; heat ; rut 	 nature 
 byo_ma 	 disease 	 medicine 
 fusho_ 	 wound ; lesion 	 medicine 
 kutsu_ 	 pain ; hurting 	 medicine 
 shittai 	 shame ; disgrace ; ignominy 	 relations 
 yu_sei 	 dominance ; ascendance ; ascendence ; ascendancy ; ascendency ; control 	 abstract 
 anraku 	 comfort ; comfortableness 	 abstract 
 iriyo_ 	 need ; demand 	 abstract 
 kigi 	 opportunity ; chance 	 abstract 
 uruoi 	 moisture ; wet 	 nature 
 kinan 	 danger 	 abstract 
 zairyo_ 	 material ; stuff 	 material 
 kinzoku 	 metallic element ; metal 	 material 
 do_ 	 copper ; Cu ; atomic number 29 	 material 
 kogane 	 gold ; Au ; atomic number 79 	 material 
 kurogane 	 iron ; Fe ; atomic number 26 	 material 
 gin 	 silver ; Ag ; atomic number 47 	 material 
 suzu 	 tin ; Sn ; atomic number 50 	 material 
 ko_do_ 	 brass 	 material 
 kawa 	 leather 	 material 
 tansuikabutsu 	 carbohydrate ; saccharide ; sugar 	 food 
 ko_tetsu 	 steel 	 material 
 sekitan 	 coal 	 material 
 funjin 	 dust 	 material 
 ku_ki 	 air 	 nature 
 ibuki 	 breath 	 anatomy 
 mizu 	 water ; H2O 	 material 
 haikibutsu 	 waste ; waste material ; waste matter ; waste product 	 material 
 garasu 	 glass 	 material 
 koori 	 ice ; water ice 	 material 
 kami 	 paper 	 material 
 migaki 	 polish 	 material 
 kona 	 powder ; pulverization ; pulverisation 	 material 
 sunago 	 sand 	 material 
 dokuyaku 	 poison ; toxicant ; poisonous substance 	 material 
 jo_ki 	 steam 	 physics 
 ro_ 	 wax 	 material 
 iwaku 	 past ; past times ; yesteryear 	 time 
 sue 	 future ; hereafter ; futurity ; time to come 	 time 
 ma 	 fourth dimension ; time 	 physics 
 hi 	 day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day ; mean solar day 	 nature 
 gozen 	 morning ; morn ; morning time ; forenoon 	 time 
 boya 	 night ; nighttime ; dark 	 nature 
 saiji 	 year ; twelvemonth ; yr 	 time 
 tsuki 	 calendar month ; month 	 time 
 jibun 	 hour ; hr ; 60 minutes 	 time 
 fun 	 minute ; min 	 time 
 shu_ki 	 fall ; autumn 	 nature 
 yo_shun 	 spring ; springtime 	 nature 
 natsu 	 summer ; summertime 	 nature 
 gento_ 	 winter ; wintertime 	 nature 
 saisho 	 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 abstract 
 dankai 	 phase ; stage 	 time 
 warau 	 laugh ; express joy ; express mirth 	 verb 
 naku 	 cry ; weep 	 verb 
 kizutsukeru 	 injure ; wound 	 verb 
 kasamu 	 increase 	 verb 
 nurasu 	 wet 	 verb 
 kagiru 	 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 verb 
 hajimeru 	 get down ; begin ; get ; start out ; start ; set about ; set out ; commence 	 verb 
 totonoeru 	 fix ; prepare ; set up ; ready ; gear up ; set 	 verb 
 shiageru 	 complete ; finish 	 verb 
 atsukau 	 process ; treat 	 verb 
 shikomu 	 train ; develop ; prepare ; educate 	 verb 
 hakaru 	 measure ; mensurate ; measure out 	 verb 
 shiwakeru 	 classify ; class ; sort ; assort ; sort out ; separate 	 verb 
 ibukashimu 	 doubt 	 verb 
 iiwatasu 	 order ; tell ; enjoin ; say 	 verb 
 motomeru 	 request ; bespeak ; call for ; quest 	 verb 
 kitasu 	 induce ; stimulate ; cause ; have ; get ; make 	 verb 
 ronjiru 	 argue ; reason 	 verb 
 denwawokakeru 	 call ; telephone ; call up ; phone ; ring 	 verb 
 kotaeru 	 answer ; reply ; respond 	 verb 
 donaru 	 shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall 	 verb 
 benjiru 	 talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 verb 
 kakishirusu 	 record ; tape 	 verb 
 mo_shiageru 	 state ; say ; tell 	 verb 
 tsukawasu 	 mail ; post ; send 	 verb 
 asobu 	 play 	 verb 
 taosu 	 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 verb 
 semeru 	 assail ; assault ; set on ; attack 	 verb 
 ho_ridasu 	 open fire ; fire 	 verb 
 tsukau 	 use ; utilize ; utilise ; apply ; employ 	 verb 
 nomu 	 drink ; imbibe 	 verb 
 migaku 	 polish ; smooth ; smoothen ; shine 	 verb 
 tsuraneru 	 join ; bring together 	 verb 
 haru 	 glue ; paste 	 verb 
 tozasu 	 close ; shut 	 verb 
 keru 	 kick 	 verb 
 hipparu 	 pull ; draw ; force 	 verb 
 ichidzukeru 	 put ; set ; place ; pose ; position ; lay 	 verb 
 maku 	 wind ; wrap ; roll ; twine 	 verb 
 hataraku 	 function ; work ; operate ; go ; run 	 verb 
 arau 	 wash ; launder 	 verb 
 oshitsubusu 	 squash ; crush ; squelch ; mash ; squeeze 	 verb 
 tsukuru 	 make ; create 	 verb 
 tsukuridasu 	 produce ; make ; create 	 verb 
 shikumu 	 design ; plan 	 verb 
 niseru 	 copy ; re-create 	 verb 
 niseru 	 imitate ; copy ; simulate 	 verb 
 suru 	 print ; impress 	 verb 
 kanjiru 	 feel ; experience 	 verb 
 nikumu 	 hate ; detest 	 verb 
 mederu 	 love 	 verb 
 konomu 	 like 	 verb 
 kuiru 	 repent ; regret ; rue 	 verb 
 negau 	 hope 	 verb 
 hossuru 	 desire ; want 	 verb 
 yuku 	 travel ; go ; move ; locomote 	 verb 
 itaru 	 come ; come up 	 verb 
 ugokasu 	 move ; displace 	 verb 
 tachidomaru 	 stop ; halt 	 verb 
 osu 	 push ; force 	 verb 
 ayumu 	 walk 	 verb 
 mawasu 	 turn 	 verb 
 hakobu 	 transport ; send ; ship 	 verb 
 ochiiru 	 fall 	 verb 
 ageru 	 raise ; lift ; elevate ; get up ; bring up 	 verb 
 michibiku 	 lead ; take ; direct ; conduct ; guide 	 verb 
 nio_ 	 smell 	 verb 
 nio_ 	 smell 	 verb 
 mieru 	 look ; appear ; seem 	 verb 
 nagameru 	 watch ; view ; see ; catch ; take in 	 verb 
 nameru 	 taste ; savor ; savour 	 verb 
 sashiageru 	 give 	 verb 
 motsu 	 have ; have got ; hold 	 verb 
 yo_suru 	 own ; have ; possess 	 verb 
 uru 	 get ; acquire 	 verb 
 teisuru 	 offer 	 verb 
 ho_ridasu 	 displace ; fire ; give notice ; can ; dismiss ; give the axe ; send away ; sack ; force out ; give the sack ; terminate 	 verb 
 yurusu 	 free ; liberate ; release ; unloose ; unloosen ; loose 	 verb 
 seisuru 	 control ; command 	 verb 
 uyamau 	 respect ; honor ; honour ; abide by ; observe 	 verb 
 wakeru 	 divide ; split ; split up ; separate ; dissever ; carve up 	 verb 
 tamesu 	 try ; seek ; attempt ; essay ; assay 	 verb 
 kokoromiru 	 test ; prove ; try ; try out ; examine ; essay 	 verb 
 yogosu 	 dishonor ; disgrace ; dishonour ; attaint ; shame 	 verb 
 tetsudau 	 help ; assist ; aid 	 verb 
 osameru 	 govern ; rule 	 verb 
 aru 	 be 	 verb 
 sumu 	 end ; stop ; finish ; terminate ; cease 	 verb 
 toru 	 necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 verb 
 fukumu 	 embrace ; encompass ; comprehend ; cover 	 verb 
 tamotsu 	 keep ; maintain ; hold 	 verb 
 nebakkoi 	 gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 adjective 
 nai 	 dead 	 adjective 
 jido_teki 	 automatic 	 adjective 
 tashika 	 certain ; sure 	 adjective 
 aoi 	 blue ; bluish ; blueish 	 color 
