 対 [たい] 	 against 	 preposition 
 荷馬車 	 handcart ; pushcart ; cart ; go-cart 	 object 
 取っ手 	 handle ; grip ; handgrip ; hold 	 object 
 帽子 	 hat ; chapeau ; lid 	 clothes 
 フック 	 hook ; claw 	 object 
 病院 	 hospital ; infirmary 	 city 
 家 	 house 	 house 
 器具 	 instrument 	 device 
 インターネット 	 internet ; net ; cyberspace 	 mathematics 
 逸品 	 jewel ; gem ; precious stone 	 object 
 ティンパニ 	 kettle ; kettledrum ; tympanum ; tympani ; timpani 	 object 
 キー 	 key 	 house 
 ナイフ 	 knife 	 food 
 結び目 	 knot 	 object 
 図書館 	 library 	 city 
 電球 	 light bulb ; lightbulb ; bulb ; incandescent lamp ; electric light ; electric-light bulb 	 device 
 錠 	 lock 	 house 
 機械 	 machine 	 device 
 地図 	 map 	 object 
 マッチ 	 match ; lucifer ; friction match 	 object 
 鉱山 	 mine 	 object 
 釘 	 nail 	 object 
 針 	 needle 	 medicine 
 網 	 net ; network ; mesh ; meshing ; meshwork 	 material 
 ナット 	 nut 	 object 
 事務室 	 office ; business office 	 business 
 オーブン 	 oven 	 device 
 塗料 	 paint ; pigment 	 art 
 ペン 	 pen 	 object 
 鉛筆 	 pencil 	 object 
 姿 	 picture ; image ; icon ; ikon 	 art 
 ピン 	 pin 	 object 
 管 	 pipe ; pipage ; piping 	 object 
 工場 	 plant ; works ; industrial plant 	 city 
 皿 	 plate 	 food 
 鋤 [すき] 	 plow ; plough 	 object 
 鍋 [なべ] 	 pot 	 object 
 刑務所 	 prison ; prison house 	 city 
 ポンプ 	 pump 	 device 
 ボタン 	 push button ; push ; button 	 object 
 横棒 	 railing ; rail 	 object 
 指輪 	 ring ; band 	 clothes 
 道路 	 road ; route 	 transport 
 棒 	 rod 	 object 
 屋根 	 roof 	 house 
 部屋 	 room 	 house 
 金庫 	 safe 	 object 
 帆 	 sail ; canvas ; canvass ; sheet 	 object 
 学校 	 school ; schoolhouse 	 city 
 はさみ 	 scissors ; pair of scissors 	 object 
 蓋 [ふた] 	 screen ; cover ; covert ; concealment 	 object 
 棚 	 shelf 	 house 
 船 	 ship 	 transport 
 シャツ 	 shirt 	 clothes 
 靴 	 shoe 	 clothes 
 店 	 shop ; store 	 business 
 絹 	 silk 	 material 
 スカート 	 skirt 	 clothes 
 石けん 	 soap 	 material 
 靴下 	 sock 	 clothes 
 鋤 	 spade 	 object 
 スプーン 	 spoon 	 food 
 ばね 	 spring 	 object 
 ステージ 	 stage 	 object 
 スタンプ 	 stamp 	 object 
 駅 [えき] 	 station 	 society 
 ハンドル 	 steering wheel ; wheel 	 device 
 階段 	 step ; stair 	 house 
 杖 	 stick 	 object 
 縫い方 	 stitch 	 medicine 
 ストッキング 	 stocking 	 clothes 
 通り 	 street 	 city 
 建設 	 structure ; construction 	 house 
 テーブル 	 table 	 house 
 テレビカメラ 	 television camera ; tv camera ; camera 	 object 
 物 	 thing 	 object 
 糸 	 thread ; yarn 	 material 
 レール 	 track ; rail ; rails ; runway 	 transport 
 列車 	 train ; railroad train 	 transport 
 盆 	 tray 	 object 
 傘 [かさ] 	 umbrella 	 clothes 
 船 	 vessel ; watercraft 	 transport 
 容器 	 vessel 	 object 
 塀 	 wall 	 house 
 洗面器 	 washbasin ; basin ; washbowl ; washstand ; lavatory 	 house 
 時計 	 watch ; ticker 	 object 
 井戸 	 well 	 object 
 車輪 	 wheel 	 object 
 鞭 [むち] 	 whip 	 object 
 笛 	 whistle 	 device 
 窓 	 window 	 house 
 針金 	 wire 	 object 
 作品 	 work ; piece of work 	 abstract 
 ユーモア 	 humor ; humour ; sense of humor ; sense of humour 	 communication 
 一見 	 expression ; look ; aspect ; facial expression ; face 	 communication 
 魅惑 [みわく] 	 attraction ; attractiveness 	 abstract 
 質 	 quality 	 abstract 
 美点 	 good ; goodness 	 abstract 
 振舞い 	 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 abstract 
 特性 	 property 	 abstract 
 構造 	 structure 	 linguistics 
 色合い 	 shade ; tint ; tincture ; tone 	 art 
 灰色 	 gray ; grayness ; grey ; greyness 	 color 
 におい 	 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 nature 
 音 	 sound 	 nature 
 平穏 	 silence ; quiet 	 abstract 
 寒さ 	 coldness ; cold ; low temperature ; frigidity ; frigidness 	 nature 
 熱 	 hotness ; heat ; high temperature 	 medicine 
 質量 	 mass 	 physics 
 重さ 	 weight 	 physics 
 力 	 might ; mightiness ; power 	 abstract 
 力 	 force ; forcefulness ; strength 	 abstract 
 傾斜度 	 gradient ; slope 	 mathematics 
 湾曲 	 curvature ; curve 	 mathematics 
 距離 	 distance 	 mathematics 
 水準 	 degree ; grade ; level 	 linguistics 
 大きさ 	 size 	 physics 
 大量 	 bulk ; mass ; volume 	 physics 
 高 [たか] 	 amount 	 abstract 
 増加 	 increase ; increment 	 abstract 
 限度 	 limit ; bound ; boundary 	 mathematics 
 範囲 	 scope ; range ; reach ; orbit ; compass ; ambit 	 abstract 
 価値 	 value 	 art 
 目的 	 function ; purpose ; role ; use 	 linguistics 
 代価 	 price ; cost ; toll 	 business 
 能力 	 power ; powerfulness 	 abstract 
 抑制 	 control 	 abstract 
 権限 	 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 society 
 皮膚 	 skin ; tegument ; cutis 	 anatomy 
 毛 	 hair ; pilus 	 anatomy 
 髪の毛 	 hair 	 anatomy 
 骨 	 bone ; os 	 anatomy 
 歯 	 tooth 	 anatomy 
 筋肉 	 muscle ; musculus 	 anatomy 
 舌 	 tongue ; lingua ; glossa ; clapper 	 anatomy 
 口 	 mouth ; oral cavity ; oral fissure ; rima oris 	 anatomy 
 唇 	 lip 	 anatomy 
 目 	 eye ; oculus ; optic 	 anatomy 
 耳 	 ear 	 anatomy 
 心臓 	 heart ; pump ; ticker 	 anatomy 
 胃 	 stomach ; tummy ; tum ; breadbasket 	 anatomy 
 血 	 blood 	 anatomy 
 神経 	 nerve ; nervus 	 anatomy 
 脳 	 brain ; encephalon 	 anatomy 
 頭部 	 head ; caput 	 anatomy 
 首 [くび] 	 neck ; cervix 	 anatomy 
 喉元 [のどもと] 	 throat ; pharynx 	 anatomy 
 身体 	 torso ; trunk ; body 	 anatomy 
 胸部 	 thorax ; chest ; pectus 	 anatomy 
 背中 	 back ; dorsum 	 anatomy 
 脚 	 leg 	 anatomy 
 足 	 foot ; human foot ; pes 	 anatomy 
 腕 	 arm 	 anatomy 
 手 	 hand ; manus ; mitt ; paw 	 anatomy 
 指 	 finger 	 anatomy 
 親指 	 thumb ; pollex 	 anatomy 
 膝 [ひざ] 	 knee ; knee joint ; human knee ; articulatio genus ; genu 	 anatomy 
 足の指 	 toe 	 anatomy 
 爪 	 nail 	 anatomy 
 鼻 	 nose ; olfactory organ 	 anatomy 
 齶 [あご] 	 chin ; mentum 	 anatomy 
 顔 	 face ; human face 	 anatomy 
 心 	 mind ; head ; brain ; psyche ; nous 	 mathematics 
 記憶力 	 memory ; retention ; retentiveness ; retentivity 	 communication 
 意志 	 volition ; will 	 abstract 
 聴力 	 hearing ; audition ; auditory sense ; sense of hearing ; auditory modality 	 nature 
 味覚 	 taste ; gustation ; sense of taste ; gustatory modality 	 nature 
 関心事 	 interest ; involvement 	 communication 
 質問 	 trouble ; problem 	 abstract 
 疑い 	 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 communication 
 注意 	 attention ; attending 	 communication 
 騒音 	 noise ; dissonance ; racket 	 society 
 体制 	 arrangement ; organization ; organisation ; system 	 society 
 成績 	 mark ; grade ; score 	 education 
 学習 	 learning ; acquisition 	 education 
 経験 	 experience 	 society 
 読書 	 reading 	 travelling 
 事実 	 fact 	 abstract 
 見本 	 example ; illustration ; instance ; representative 	 communication 
 考え 	 idea ; thought 	 communication 
 決定 	 decision ; determination ; conclusion 	 communication 
 種類 	 kind ; sort ; form ; variety 	 abstract 
 商標 	 brand ; make 	 abstract 
 規則 	 rule ; regulation 	 linguistics 
 区画 [くかく] 	 part ; section ; division 	 mathematics 
 コンプレックス 	 complex ; composite 	 abstract 
 本質 	 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 abstract 
 思い出 	 memory 	 communication 
 意見 	 opinion ; sentiment ; persuasion ; view ; thought 	 communication 
 信仰 	 religion ; faith ; religious belief 	 society 
 期待 	 promise ; hope 	 relations 
 薫陶 [くんとう] 	 education 	 education 
 理論 	 theory 	 education 
 訓練 	 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 linguistics 
 科学 	 science ; scientific discipline 	 society 
 ページ 	 page 	 object 
 新聞 	 newspaper ; paper 	 object 
 言語 	 language ; linguistic communication 	 communication 
 語 	 word 	 linguistics 
 名 	 name 	 linguistics 
 書体 	 writing 	 linguistics 
 架空 [かくう] 	 fiction 	 abstract 
 散文 	 prose 	 abstract 
 節 	 verse ; rhyme 	 linguistics 
 抄本 [しょうほん] 	 excerpt ; excerption ; extract ; selection 	 linguistics 
 案内書 	 guidebook ; guide 	 object 
 用紙 	 form 	 society 
 表 	 list ; listing 	 abstract 
 請求書 	 bill ; account ; invoice 	 business 
 切符 	 ticket 	 object 
 領収書 	 receipt 	 object 
 法律 	 law 	 society 
 遺言 	 will ; testament 	 society 
 意味 	 sense ; signified 	 communication 
 手紙 	 letter ; missive 	 object 
 ニュース 	 news ; intelligence ; tidings ; word 	 society 
 論拠 	 argument ; statement 	 communication 
 秘密 	 secret 	 communication 
 声明 	 statement 	 communication 
 理由 	 reason 	 communication 
 答え 	 answer ; reply ; response 	 communication 
 注意書き 	 note ; annotation ; notation 	 communication 
 協定 	 agreement ; understanding 	 business 
 郵便料金 	 postage ; postage stamp ; stamp 	 object 
 線 	 line 	 mathematics 
 記号 	 sign 	 linguistics 
 文字 	 letter ; letter of the alphabet ; alphabetic character 	 linguistics 
 音階 	 scale ; musical scale 	 mathematics 
 音符 	 note ; musical note ; tone 	 art 
 微笑 	 smile ; smiling ; grin ; grinning 	 abstract 
 音楽 	 music 	 art 
 歌 	 song ; vocal 	 art 
 リズム 	 rhythm ; beat ; musical rhythm 	 art 
 声 	 voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 communication 
 叫び 	 cry ; outcry ; call ; yell ; shout ; vociferation 	 communication 
 議論 	 discussion ; give-and-take ; word 	 communication 
 提案 	 suggestion ; proposition ; proffer 	 abstract 
 言い渡し [いいわたし] 	 order 	 society 
 議論 	 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 mathematics 
 申し出 	 offer ; offering 	 abstract 
 要望 	 request ; asking 	 communication 
 質問 	 question ; inquiry ; enquiry ; query ; interrogation 	 linguistics 
 試験 	 examination ; exam ; test 	 communication 
 はい 	 yes 	 abstract 
 いいえ 	 no 	 abstract 
 抗議 	 protest ; protestation 	 communication 
 広告 	 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 business 
 マーカー 	 marker ; marking ; mark 	 abstract 
 体験 	 experience 	 communication 
 報酬 	 wages ; reward ; payoff 	 society 
 火 	 fire 	 nature 
 動き 	 movement ; motion 	 physics 
 誕生 	 birth ; nativity ; nascency ; nascence 	 nature 
 原因 	 cause 	 abstract 
 震動 	 jolt ; jar ; jounce ; shock 	 transport 
 波 	 wave ; moving ridge 	 nature 
 跳躍 	 leap ; jump ; saltation 	 abstract 
 休止 	 stop ; halt 	 abstract 
 適応 [てきおう] 	 adjustment ; accommodation ; fitting 	 abstract 
 雷 	 thunder 	 nature 
 流れ 	 current ; stream 	 nature 
 接触 	 touch ; touching 	 abstract 
 損害 	 damage ; harm ; impairment 	 transport 
 突発 	 outburst ; burst ; flare-up 	 abstract 
 試合 	 contest ; competition 	 society 
 試合 	 match 	 sports 
 欲望 	 desire 	 abstract 
 楽しみ 	 pleasure ; pleasance 	 abstract 
 嫌悪 [けんお] 	 disgust 	 abstract 
 驚き 	 surprise 	 abstract 
 驚愕 [きょうがく] 	 daze ; shock ; stupor 	 abstract 
 恐れ 	 fear ; fearfulness ; fright 	 relations 
 後悔 	 sorrow ; regret ; rue ; ruefulness 	 abstract 
 愛 	 love 	 relations 
 憎しみ 	 hate ; hatred 	 relations 
 食事 	 meal ; repast 	 food 
 スープ 	 soup 	 food 
 ケーキ 	 cake 	 food 
 ゼリー 	 gelatin ; jelly 	 food 
 肉 	 meat 	 food 
 パン 	 bread ; breadstuff ; staff of life 	 food 
 芋 [いも] 	 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 food 
 林檎 [りんご] 	 apple 	 food 
 漿果 [しょうか] 	 berry 	 food 
 オレンジ 	 orange 	 food 
 米穀 [べいこく] 	 rice 	 food 
 塩 	 salt ; table salt ; common salt 	 food 
 乳汁 [にゅうじゅう] 	 milk 	 food 
 バター 	 butter 	 food 
 チーズ 	 cheese 	 food 
 飲み物 	 beverage ; drink ; drinkable ; potable 	 food 
 ワイン 	 wine ; vino 	 food 
 ミルクセーキ 	 milkshake ; milk shake ; shake 	 food 
 社会 	 society 	 society 
 一族 	 family ; family unit 	 family 
 性 	 sex 	 nature 
 小包み 	 package ; bundle ; packet ; parcel 	 object 
 組織 	 organization ; organisation 	 society 
 政府 	 government ; authorities ; regime 	 society 
 会社 	 company 	 business 
 宗教 	 religion ; faith ; organized religion 	 society 
 科 	 family 	 family 
 聖職 	 order ; monastic order 	 society 
 国民 	 nation ; land ; country 	 society 
 大衆 	 populace ; public ; world 	 society 
 軍隊 	 army ; regular army ; ground forces 	 society 
 軍隊 	 military ; armed forces ; armed services ; military machine ; war machine 	 society 
 楽団 	 dance band ; band ; dance orchestra 	 art 
 表 	 table ; tabular array 	 object 
 委員会 	 committee ; commission 	 society 
 組織 	 system ; scheme 	 linguistics 
 流れ 	 stream ; flow ; current 	 nature 
 淵叢 [えんそう] 	 center ; centre ; middle ; heart ; eye 	 mathematics 
 国 	 country ; state ; land 	 society 
 端 	 edge ; border 	 mathematics 
 締切り [しめきり] 	 end ; terminal 	 abstract 
 畑 	 field 	 nature 
 前方 	 front ; front end ; forepart 	 abstract 
 場所 	 position ; place 	 linguistics 
 港 	 seaport ; haven ; harbor ; harbour 	 city 
 場所 	 seat ; place 	 abstract 
 端 	 side 	 mathematics 
 場所 	 topographic point ; place ; spot 	 abstract 
 町 	 town 	 society 
 傾向 	 tendency ; trend 	 abstract 
 小片 	 bit ; chip ; flake ; fleck ; scrap 	 object 
 雲 	 cloud 	 nature 
 亀裂 [きれつ] 	 crack ; cleft ; crevice ; fissure ; scissure 	 abstract 
 輿地 [よち] 	 Earth ; earth ; world ; globe 	 nature 
 粒子 [りゅうし] 	 grain 	 material 
 穴 	 hole 	 abstract 
 島 	 island 	 nature 
 陸地 	 land ; dry land ; earth ; ground ; solid ground ; terra firma 	 nature 
 月 	 Moon ; moon 	 nature 
 山 	 mountain ; mount 	 nature 
 平原 	 plain ; field ; champaign 	 nature 
 川 	 river 	 nature 
 岩石 	 rock ; stone 	 nature 
 鱗 	 scale ; scurf ; exfoliation 	 anatomy 
 海 	 sea 	 nature 
 空 	 sky 	 nature 
 源泉 	 spring ; fountain ; outflow ; outpouring ; natural spring 	 nature 
 恒星 	 star 	 nature 
 広がり 	 stretch 	 art 
 太陽 	 sun ; Sun 	 nature 
 専門家 	 expert 	 profession 
 赤ん坊 	 baby ; babe ; infant 	 family 
 兄弟 	 brother ; blood brother 	 family 
 料理人 	 cook 	 profession 
 娘 	 daughter ; girl 	 family 
 監督 	 director ; manager ; managing director 	 profession 
 ポーター 	 doorkeeper ; doorman ; door guard ; hall porter ; porter ; gatekeeper ; ostiary 	 profession 
 父親 	 father ; male parent ; begetter 	 family 
 友人 	 friend 	 family 
 将軍 	 general ; full general 	 profession 
 少女 	 girl ; miss ; missy ; young lady ; young woman ; fille 	 family 
 首領 [しゅりょう] 	 head ; chief ; top dog 	 society 
 裁判官 	 judge ; justice ; jurist 	 profession 
 歩哨 	 lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 profession 
 少年 	 male child ; boy 	 family 
 男 	 man ; adult male 	 family 
 母 	 mother ; female parent 	 family 
 所有者 	 owner ; possessor 	 business 
 セールスマン 	 representative 	 profession 
 秘書 	 secretary ; secretarial assistant 	 profession 
 召使 	 servant ; retainer 	 profession 
 姉妹 	 sister ; sis 	 family 
 息子 	 son ; boy 	 family 
 案内係 	 usher ; guide 	 profession 
 女 	 woman ; adult female 	 family 
 結果 	 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 medicine 
 反応 	 reaction 	 abstract 
 光線 	 beam ; beam of light ; light beam ; ray ; ray of light ; shaft ; shaft of light ; irradiation 	 mathematics 
 電流 	 current ; electric current 	 nature 
 死 	 death 	 nature 
 光 	 light ; visible light ; visible radiation 	 nature 
 霧 [きり] 	 mist 	 nature 
 雨 	 rain ; rainfall 	 nature 
 煙 	 smoke ; fume 	 nature 
 雪 	 snow ; snowfall 	 nature 
 天気 	 weather ; weather condition ; conditions ; atmospheric condition 	 nature 
 風 	 wind ; air current ; current of air 	 nature 
 花 	 flower 	 nature 
 芝生 	 grass 	 nature 
 木 	 tree 	 house 
 根 	 root 	 nature 
 茎 	 stalk ; stem 	 nature 
 果実 	 fruit 	 food 
 種 	 seed 	 food 
 木の実 	 nut 	 food 
 葉 	 leaf ; leafage ; foliage 	 nature 
 枝 	 branch 	 nature 
 所有物 	 property ; belongings ; holding 	 society 
 利益 	 net income ; net ; net profit ; lucre ; profit ; profits ; earnings 	 business 
 贈り物 	 present 	 object 
 お返し 	 payment 	 business 
 税金 	 tax ; taxation ; revenue enhancement 	 business 
 利息 	 interest 	 business 
 相場 	 rate ; charge per unit 	 business 
 権利 	 right 	 society 
 保険 	 insurance 	 business 
 掛け 	 credit 	 business 
 金銭 	 money 	 business 
 小銭 	 change 	 business 
 紙幣 	 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 business 
 借金 	 debt 	 business 
 沸騰 [ふっとう] 	 boiling 	 nature 
 発展 	 development ; evolution 	 nature 
 消化 	 digestion 	 medicine 
 火 	 fire ; flame ; flaming 	 nature 
 蕃殖 [はんしょく] 	 increase ; increment ; growth 	 abstract 
 実施 	 operation ; functioning ; performance 	 mathematics 
 数 	 number 	 linguistics 
 構成単位 	 unit of measurement ; unit 	 mathematics 
 ビット 	 bit 	 computers 
 温度 	 degree 	 linguistics 
 ルート 	 root 	 mathematics 
 歩み 	 footstep ; pace ; step ; stride 	 mathematics 
 しずく 	 drop ; drib ; driblet 	 object 
 部分 	 part ; portion ; component part ; component ; constituent 	 abstract 
 残り 	 remainder ; balance ; residual ; residue ; residuum ; rest 	 business 
 縮尺 	 scale 	 mathematics 
 方向 	 direction 	 mathematics 
 北 	 north ; due north ; northward ; N 	 logistics 
 東 	 east ; due east ; eastward ; E 	 logistics 
 南 	 south ; due south ; southward ; S 	 logistics 
 西 	 west ; due west ; westward ; W 	 logistics 
 競争相手 	 competition 	 business 
 逆 	 reverse ; contrary ; opposite 	 abstract 
 曲線 	 curve ; curved shape 	 art 
 円 	 circle 	 mathematics 
 巻物 	 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 object 
 正方形 	 square ; foursquare 	 mathematics 
 記念碑 	 arch 	 house 
 角度 [かくど] 	 angle 	 mathematics 
 曲がり 	 fold ; crease ; plication ; flexure ; crimp ; bend 	 object 
 点 	 point ; dot 	 linguistics 
 状態 	 condition ; status 	 abstract 
 勘定書 	 account ; business relationship 	 business 
 グループ 	 company ; companionship ; fellowship ; society 	 society 
 絶頂 	 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 abstract 
 存在 	 being ; beingness ; existence 	 society 
 和声 	 harmony ; concord ; concordance 	 art 
 平和 	 peace 	 abstract 
 均衡 	 balance 	 physics 
 眠り 	 sleep ; slumber 	 nature 
 発情 [はつじょう] 	 estrus ; oestrus ; heat ; rut 	 nature 
 病気 	 disease 	 medicine 
 風邪 	 cold ; common cold 	 medicine 
 動物咬傷 	 bite 	 medicine 
 傷 	 wound ; lesion 	 medicine 
 くしゃみ 	 sneeze ; sneezing ; sternutation 	 medicine 
 痛み 	 pain ; hurting 	 medicine 
 咳嗽 	 cough ; coughing 	 medicine 
 不人気 	 shame ; disgrace ; ignominy 	 relations 
